,length,OXF1071_S29,OXF1147_S30,OXF1623_S50,OXF2544_S53,OXF936_S52,OXF939_S51,RC01_S1,RC04_S2,RC05_S26,RC09_S4,RC15_S5,RC16_S6,RC20_S7,RC23_S8,RC24_S9,RC27_S31,RC28_S32,RC30_S33,RC31_S10,RC32_S11,RC33_S12,RC34_S13,RC35_S14,RC37_S34,RC38_S15,RC45_S35,RC46_S36,RC47_S37,RC48_S38,RC50_S16,RC51_S39,RC52_S17,RC54_S40,RC55_S41,RC57_S42,RC60_S18,RC65_S43,RC66_S44,RC68_S19,RC70_S20,RC71_S21,RC73_S45,RC75_S46,RC79_S47,RC81_S22,RC82_S23,RC85_S48,RC87_S24,RC88_S25,RC89_S3,RC90_S27,RC91_S28,RC92_S49,sum,
I_lacunosa-Solyc04g015050.2.1_1,2575,161763,2054,1330,539,0,508,2305,1392,0,3822,1620,1641,3068,6448,256,286,256,0,0,1040,1190,0,0,0,220,0,538,111924,8872,0,216,460,288,408,184,2171,9316,11658,460,32731,120773,2680,220475,0,14869,17512,0,0,0,0,1026,1060,0,749934,
I_lacunosa-Solyc09g007330.2.1_2,4692,240,1249618,1487,1135,0,494,433429,5923,2677,147555,2184,140028,1203,641787,2416,184,6478,0,0,556,216683,0,9482,21590,478,0,3960,1510,6628,1238,236,1208,0,502,1190,2287,200118,17540,3923,344723,2419,2572,512009,0,4761,9095,0,883,404,0,28702,1206,0,4037433,
I_lacunosa-Solyc09g007330.2.1_1,2754,4906,895015,3677,1960,0,301,6006,2113,14075,14922,4044,3117,1399,4470,885,21332,1260,0,0,2193,904,0,572,103669,805,432,1680,271,15336,804,0,2765,340,0,2132,124744,190455,7439,2247,60519,3878,2098,111060,0,6394,3099,382,868,1200,0,38395,2131,0,1669048,
I_lacunosa-Solyc04g009410.2.1_1,1834,1086,1452,1195,1136,0,0,3086,1539,373,2330,1237,3304,8039,4418,3740,672,0,0,0,896,202,0,876,0,4568,2429,316,0,95945,120458,0,299,0,79800,0,2864,1236314,9192,2914,460367,337080,2109,4208,0,6429,4374,320,212,195797,0,740,1885,0,2606035,
I_lacunosa-Solyc03g112540.2.1_1,6371,7460,3171,4368,8642,3838,0,2830,1011,2818,2162,655176,3092,20652,85466,2253,822,0,3217,0,1181,1507,0,512,52,1031,1320,2059,350,1925,370,444078,3481,1245,643,413894,610,559958,13684,65258,1536,7216,2245,179415,436,3596,3785,768,35490,435150,0,0,1167,33,2997344,
I_lacunosa-Solyc04g082330.2.1_1,7464,33271,566225,1083480,3731,304,840,939745,18462,6504,167217,85027,11073,30978,13092,86627,1906,464,43681,0,140755,2593,0,158987,188,4967,2006,14074,99266,562656,297729,604,12356,2176,5656,1813,75403,3027073,210011,74643,743547,452158,8602,1005262,0,412862,154852,702,10300,1206,0,2935,328469,0,10913942,
I_lacunosa-Solyc07g055210.2.1_1,3501,306,2960,2722,3127,7744,515,609415,1495,298,9169,1749,1387,2538,74806,1475,301,188,0,0,2594,609031,0,1922,124,256,450,276,302,5338,1512,134,2207,1164,137753,0,2890,547964,60536,3563,14755,4741,1540,546877,272,1417771,7591,196,115121,8161,0,672,906,0,4220315,
I_lacunosa-Solyc07g055300.2.1_1,2969,2114,151575,41044,2014,128,156,99470,63617,3878,6391,15017,4033,3956,7211,4283,746,442,408,0,3461,2396,0,11547,0,658,106,7033,600,3945,877,1012,2337,458,2000,1032,4723,332268,121427,4334,495296,32036,2216,718652,84,8278,7706,252,2873,582,0,596,4587,0,2182824,
I_lacunosa-Solyc06g071910.2.1_1,5385,768904,624460,1188191,55162,5173,1572,1039553,1069172,820863,160580,1072294,27576,20672,69233,130236,2993,2720,1024,0,5546,74826,0,225024,602,143067,49045,64329,8810,314642,96573,41985,453464,2576,7327,4413,8921,3601379,401618,35784,1074770,400692,245950,4871298,0,375941,50486,0,181797,299046,254,128621,12438,0,20246987,
I_lacunosa-Solyc04g081570.2.1_1,4501,983,3528,120592,1183,538,1013,5927,2117,715836,339129,1202,2907,191447,4319,477512,548,440,1080,0,4203,2852,0,0,110,4508,0,2166,561,5328,1585,682,2824,0,386,1546,24520,595178,86713,3498,354158,2298,2149,1442033,0,142269,4831,1178,1208,0,0,2538,2002,0,4566126,
I_lacunosa-Solyc11g068540.1.1_1,3107,984,1344,604,0,0,692,451763,1020,1586,2315,759,1461,1476,2212,300,0,296,0,544,2294,592,0,302,0,0,524,44011,552,1794,1801,237,540,0,0,0,861,5828,46756,3628,15288,847,2378,341008,0,9612,2762,0,1290,0,0,280,1080,0,954728,
I_lacunosa-Solyc08g081330.2.1_1,1664,900,8098,16775,3322,102,0,1218,1202,0,42342,3264,2349,4546,1655,566,1520,0,78,0,7671,19549,0,0,0,0,33636,1028,26106,1038,0,978,1950,0,0,553,136214,67444,526694,419477,510375,167608,0,778911,0,1357,909,84,58302,1130,0,1446,1429,0,2853490,
I_lacunosa-Solyc06g006080.2.1_1,2095,201169,106679,764568,505364,136974,10068,1430656,28767,1101871,15579,488625,32953,786083,82910,392046,752,9730,1788,0,31932,11867,0,32944,530,24867,303307,916493,529420,563171,2345,4185,27781,5317,66502,47017,1151701,5263859,358149,1247940,3174159,484704,5587,4305897,306,654124,279760,2532,226398,743883,252764,4042,66007,0,26888167,
I_lacunosa-Solyc12g089210.1.1_1,1789,3144,3017,323161,1270,0,0,207439,46900,4925,32271,2436,3817,3978,13523,687907,570,14784,5560,0,361744,302,0,166,0,2308,162,1417,519,1439,738,332428,3186,9315,654,296,39616,737272,13918,3590,123353,1748,515,251657,0,5768,3265,72,3159,1732,0,762,2462,0,3260054,
I_lacunosa-Solyc12g007010.1.1_1,4896,2370,238080,939241,65236,1296,0,301044,5772,44782,4070,144531,5754,2920,111743,437127,824898,0,1232,0,6704,5457,0,1652,0,984,450,2696,3159,6628,58070,1330,4531,1580,686,1336,11318,874082,110766,4534,582946,5010,2405,1151239,0,386702,22896,434,134712,2508,202,675,165790,0,6686474,
I_lacunosa-Solyc05g006200.2.1_1,3111,706118,4296,5706,302,1036,0,3892,262191,302,2213,0,2090,2988,20034,3006,0,0,302,0,2945,170973,0,236,0,136,190,0,0,1157,39058,862,1507,384,0,176,305,14589,14527,2663,137633,3807,299,21184,0,2259,2661,0,2148,0,0,27769,302,0,1465357,
I_lacunosa-Solyc03g120350.2.1_1,7842,0,11546,738442,950,1123,452,4789,2205,1553,1423,1906,20131,8442,3279,3044,445,150506,0,0,1758,878,0,0,62,920,690,0,205,15576,1554,822,297573,447,508,1645,1913,12741,304265,4800,39062,1913,4165,556113,568,3073,2626,0,2095,58093,132,1806,301,0,2274382,
I_lacunosa-Solyc03g123730.2.1_1,3054,57588,122351,10663,81183,1115,1140,213492,352950,30402,240634,489996,280101,10389,289282,136231,1152,210,1292,0,5588,169071,0,4357,0,359041,4027,0,4675,206795,25981,1104,9989,2284,3630,2423,4967,748784,141338,14724,510941,113148,256160,317823,0,264628,1475901,334,34123,6274,0,1939,5324,0,7018598,
I_lacunosa-Solyc01g006800.2.1_1,2901,748,5375,53577,2046,0,302,350521,31974,1928,8439,435830,4717,4646,151742,11198,112,329986,0,0,4548,2136,0,1578,352,268,1146,1766,3076,409497,293,824,1537,276,678,7800,2962,592388,238537,9153,84164,2411,37809,298483,0,6869,2373,0,5590,216,0,2899,140,0,3115811,
I_lacunosa-Solyc06g060060.2.1_1,5728,5919,21318,1459657,23689,1797,897,79073,192746,14443,438300,647269,10121,11188,54899,42540,1698,734,6398,0,5926,2080,0,2108,0,11924,94,76199,646,279833,3013,396,7704,964,926,86615,48560,1368018,142128,74622,724718,56498,10376,601353,158010,20001,1415741,1265,217389,8053,0,8928,7097,0,8359599,
I_lacunosa-Solyc04g079200.2.1_1,2477,910,49716,1524,5095,0,620,2722,2069,916,4085,1662,766,1687,4352,909,218,1234,186,0,414,2648,0,626,0,1362,2560,0,759,9285,1019,677,1774,108,962,892,30326,9138,173236,3375,20578,483104,632349,538749,0,2096,71930,0,212,0,0,296,2807,0,2072430,
I_lacunosa-Solyc09g011810.2.1_1,1809,0,713,1763,4036,0,0,4348,2297,1885,5982,233927,2606,1197,3232,1513,296,476,528,0,3006,1316,0,204,0,72464,123,869,0,5496,0,1184,16861,0,800,276,3287,827168,5359,2317,414408,342111,0,1772,0,12618,3573,134,1683,1272,0,926,2820,0,1988655,
I_lacunosa-Solyc05g016690.2.1_1,2511,0,906,798,1523,0,0,188788,730,608,3421,268,786,903,4724,906,340,0,0,0,604,2127,0,753,0,38527,322,208,558,751,727,0,302,660,0,274,2655,7461,7279,128857,769419,881691,13115,71746,0,4002,3010,0,1349,821,0,252,1057,0,2145739,
I_lacunosa-Solyc01g087870.2.1_1,4165,4201,5786,47394,3170,2180,1402,458088,12408,86511,154755,218205,146595,11159,126451,39940,3256,222,1502,0,3770,2906,0,1350,248,42517,670,1892,876,107323,10508,0,5440,1988,9314,249129,8253,2087245,278142,507744,530152,295042,249723,817742,0,29098,9465,1282,94494,5391,0,3144,5001,0,6687239,
I_lacunosa-Solyc02g065070.2.1_2,3058,1414,55331,676635,19210,492872,0,8986,93249,196723,242774,45702,7535,314276,111072,5765,1990,101176,135282,0,6202,7071,0,2828,0,718,1549,2047,1090,4179,1619,1266,2068,20380,218,148,42914,1543034,93522,8364,119534,13149,2937,878721,0,16074,146713,176,2761,17889,0,1363,3980,0,5455564,
I_lacunosa-Solyc04g076180.2.1_1,5792,3346,261833,513012,131913,428,830,28581,623170,11119,14200,7491,555130,364268,73542,7804,1086,19740,3010,0,11528,3821,0,2053,250,23474,668,42384,1266,11279,44919,1255,9715,2479,1150,64312,11004,1960131,44259,23884,806281,330269,6536,718574,160,703456,62075,84497,14442,5340,174,3480,10726,0,7632136,
I_lacunosa-Solyc10g079740.1.1_1,2899,888,398390,3257,5221,534,0,2606,3323,2054,3316,3178,1792,6241,6603,4362,1138,20944,720,0,2955,294,0,1213,184,374134,1118,875,1012,497717,1494,1125,2599,1218,216,1168,565,1319212,728068,6780,29372,302539,609572,833519,0,1564,5625,100,41566,2886,0,0,5488,0,5241644,
I_lacunosa-Solyc06g066570.2.1_1,2843,858,91778,4040,1019,0,13022,83436,131236,3037,5434,18901,3701,35177,29721,2298,1321,0,190138,0,1467,2281,0,916,0,512,0,3846,1504,43795,908,0,1708,392,760,106,730476,22591,143030,3440,8933,10927,34758,27323,0,4281,494984,903,722,48330,0,1260,3923,0,2212036,
I_lacunosa-Solyc04g064790.2.1_1,2191,9243,6049,280745,3481,8201,778,23831,2101,245264,5507,23149,5410,20194,7459,171845,0,191674,0,0,3455,898,0,101022,0,3506,210,503,558,874,860,304,2623,452,606,990,5771,1745639,800710,8381,48632,4664,300195,51935,0,9908,19285,9382,9384,179636,0,593,601,0,4318699,
I_lacunosa-Solyc05g012690.2.1_1,2235,0,250,5580,200,0,0,14338,89529,0,440,1386,1568,2597,1388,0,0,0,0,0,511,0,0,1878,0,124,298,198,400,1774,0,329,2407,632,104,0,1346,8119,38055,3723,158313,546,6349,244152,0,1721,2613,0,478,720,0,0,910,0,595211,
I_lacunosa-Solyc05g054940.2.1_1,3626,747,2449,1868,908,404,164,4345,319801,1959,293504,1498,11562,1519,2876,146,162,0,0,81,2282,1940,0,722,41,983,300,1026,302,1727,380,124,968,720,488,1044,1859,872394,12445,7475,2644,2482,8215,942658,0,70306,2696,12598,49963,2262,0,1390,2100,0,2652153,
I_lacunosa-Solyc01g005240.2.1_1,3143,2032,5329,1695,13945,1368,268,295,1776,4301,0,41628,1726,4205,80413,0,4664,0,194,0,4836,1835,0,300,0,268,402,238,528,37766,974,1372,301,626,102,898,220401,487544,729687,2719,11213,3914,1040,317727,0,48151,1200,25617,2210,0,0,0,437204,0,2506055,
I_lacunosa-Solyc03g111340.2.1_1,4087,1794,13613,13250,482166,21345,41,12839,441073,1430,67859,3184,228703,2344,31888,1988,0,712,286,224,1950,8263,1293,344,226,508,404,456,3218,140250,1239,93706,4814,3871,3360,3542,127733,195976,62676,4326,608657,2938,9580,12521,0,246492,3937,278,92790,388,0,1818,3526,0,2969906,
I_lacunosa-Solyc06g076970.2.1_1,1198,293,524,1075,189,304,0,2262,400,1512,290,1006,906,586,2035,0,140,0,528,0,161,0,0,0,120,286,224,0,0,2082,291,0,1562,378,0,766,599,17084,4921,512,1808,1747,804,904,0,191937,0,0,1619,4518,0,576,1485,0,247632,
I_lacunosa-Solyc02g092380.2.1_1,2867,0,599260,1075,2544,0,1119,561399,5017,822,131586,48529,1422,3225,4866,67875,1216,0,380,0,2141,176075,0,1772,54073,183501,19976,574,298,25856,788,1724,7885,302,1202,160,127857,838529,6770,1199,311869,3518,2405,476743,0,5507,5989,626,82208,594,0,5074,302,0,3778719,
I_lacunosa-Solyc05g007490.2.1_1,2239,1159,6317,42022,62036,366243,164,6037,19124,127105,34811,3294,3388,131898,6233,6683,3972,130,1105,0,5700,687716,0,3339,0,642,232,374,52,178026,774,1614,6093,2343,0,174,172382,239560,13478,22880,648650,133625,1128,1158193,0,43288,7959,374,426032,25270,85,1104,2776,0,4607823,
I_lacunosa-Solyc11g069180.1.1_1,4062,795,1397,643,1014,0,288,6555,597,650729,2104,1901,1282,37137,2435,222,0,0,1140,0,3327,298,0,1695,0,0,244,0,0,458,0,0,516,0,236,38928,1753,5947,5657,99852,5479,1057,1473,58079,0,2248,1045,4764,2562,596,0,0,2114,0,950629,
I_lacunosa-Solyc02g023990.2.1_1,1785,602,140625,24225,2533,196,414,102079,7501,27794,18009,737,1539,3460,4329,562,432,116,0,0,282,1072,42,1891,53,190,122,2084,1098,7721,331,104,2772,796,146,582,2233,1077918,43114,2599,5948,202235,25250,158150,0,765365,2337,718,113576,36312,0,9780,151,0,2801910,
I_lacunosa-Solyc08g079450.2.1_1,3750,670801,4932,10360,4246,410,520,4212,13400,7615,512543,4624,4614,4387,266474,2664,28852,0,904,0,2135,18991,0,562,252,164252,795,2015,2748,28904,969,724,3870,270,176286,2170,47954,1302792,265951,1536,204832,2864,58975,964541,0,5448,573444,0,2053,1078,0,0,3117,0,5384836,
I_lacunosa-Solyc08g079180.2.1_1,2295,12173,963938,1045847,361484,44398,1174,37491,55749,22796,1887,58169,11942,17997,442520,297171,7194,18851,3739,0,12426,6046,293,3142,0,226782,28941,1206,110769,213848,2364,1380,89681,1294,952,31196,572,2594572,1072039,86567,869962,692967,468086,3641682,0,50938,19534,432,128275,5938,243,0,11909,0,13780851,
I_lacunosa-Solyc02g067530.2.1_1,2065,1113,1637,262,2368,0,256,14692,596,526,2230,3926,1181,3208,2461,758,346,0,0,0,204,309600,0,89980,0,0,1296,292,472,1523,0,225,239,326,1008,530,237018,826705,932442,3115,3900,139858,1417,1258,0,56796,59434,0,0,582,0,230,150,0,2706225,
I_lacunosa-Solyc08g016050.2.1_1,5007,96279,5745,8799,35875,848,656,20237,33291,3621,30699,1001,6396,8220,64596,571896,116,1018,916,0,5980,1087,0,1202,0,1611,1768,2272,198,7760,2408,1208,800,162,19410,1140,2717,83072,1134684,9193,212091,49822,4207,827040,0,748983,8063,77169,243980,42207,0,1048,4686,0,4391184,
I_lacunosa-Solyc09g074100.2.1_1,2843,2285,5724,4535,159764,486,780,254132,101613,2418,3834,2897,6487,2689,7411,4655,518,324,228,0,2938,0,0,1788,0,898,666,1416,420,8253,0,236,10092,472,10147,1218,2548,543876,32445,4071,7732,140461,2056,651194,0,5271,288682,876,11266,1277,0,2604,4585,0,2301111,
I_lacunosa-Solyc02g068530.2.1_1,5020,0,6897,870173,375386,22115,19931,20212,10293,18091,1085439,16533,3019,4675,2555,1790,2079,434,132,0,940,421543,0,1522,0,429503,566,1986,372,163663,301,0,4212,5316,96,33338,2062,898846,24019,2025,42255,12062,3751,1864917,48438,3064,968681,338,3538,58306,0,1322,451,0,7462207,
I_lacunosa-Solyc08g082340.2.1_1,2849,2425,13783,489450,4926,5414,416,230419,777843,7967,50796,2547,21483,5552,66874,20192,592,85280,188,0,91180,118181,0,9926,116,24511,5720,2154,931,52948,1295,1157,3346,1488,2634,1500,40939,643764,79503,143504,14479,73957,3131,179415,0,18163,11666,604,29245,5800,49,0,23908,0,3374210,
I_lacunosa-Solyc03g071590.2.1_1,4245,1541,2810,1095,2702,345,620,16190,2635,1199,8890,192254,1945,1887,3212,1232,296,0,0,0,914,16391,0,3169,84,180763,13564,2083,322,7899,111191,1129,1294,0,627,7012,18101,100330,15424,3420,178585,15762,538,587205,223,152524,715625,212,53999,1497,0,1284,1169,0,2435438,
I_lacunosa-Solyc06g067990.2.1_1,5632,1382,749,4421,4069,0,307,547003,5194,9208,639913,248,2918,785,7704,4123,509,0,1850,0,4936,95674,0,47066,201,60286,0,32281,1170,5511,1837,520,2134,29802,0,444,113022,535432,3005,2901,5883,111403,906505,241640,0,8314,2629,128707,2314,1796,0,3982,2946,0,3588356,
I_lacunosa-Solyc01g102370.2.1_1,5001,308,3186,1060,539,0,0,1180,75729,3364,4209,81431,3022,1279,5656,445,1120,41171,0,0,86458,400,0,192,0,1680,0,0,252,2206,192704,0,3808,352,0,624,37819,120607,7673,1414,493457,1592,2653,288409,0,2915,3431,204,2835,0,0,1318,4735,0,1486438,
I_lacunosa-Solyc11g020780.1.1_1,1664,1401,880,4530,956,0,470,4290,17695,0,5782,1787,0,883,16696,1203,192,0,0,0,235,290,0,312,0,404,0,898,0,535,0,0,233,0,180,0,21093,4691,2412,139,1757,526,1344,1504,0,2404,4721,354,534,868,0,1634,2291,0,107788,
I_lacunosa-Solyc10g055640.1.1_1,2344,0,4173,159867,3944,142,0,86295,1444,2996,8701,604,2904,3724,7563,211020,0,0,0,0,4620,592,0,176,0,0,376,856,0,3486,604,0,115788,1140,419,2534,2067,133668,4299,4359,10945,3212,9331,905606,0,4194,2698,0,1552,430,0,93701,4172,0,1806546,
I_lacunosa-Solyc09g091470.2.1_1,2226,0,1184,1200,600,0,301,486903,2931,401,2378,0,1509,1196,151733,2080,148,0,0,0,1498,2120,0,364,0,302,1190,1505,0,590,16595,0,0,0,154,422,307,5276,12204,1805,387338,35536,812,1162,0,1402,604,156,121044,560,0,452,0,0,1248188,
I_lacunosa-Solyc09g074360.2.1_1,3388,3123,3858,349720,552216,32375,356,30247,41545,2042,1026969,5721,7685,8684,101394,271157,20320,230797,540,0,2028,1687,0,3544,0,1072,0,534,138,3403,2712,1142,16762,465043,1262,198,115050,726251,275965,9508,28198,7433,184538,1044839,0,166011,3415,1828,615599,6786,0,2592,2767,0,6382442,
I_lacunosa-Solyc09g074650.2.1_1,3841,185240,3963,7566,218291,0,504,5668,2631,2478370,6876,1474,1804,3597,28296,11202,825,604,744,0,1057,0,0,406,0,568,0,541,1768,252619,0,0,603,116,0,1462,65929,921607,9226,4209,5608,597021,1613,613656,0,7186,514208,870,4319,1267,0,3482,2697,0,5973534,
I_lacunosa-Solyc07g045330.2.1_2,3252,1447,84968,318460,544,1626,254,6890,686217,1688,8464,10071,296380,4700,3562,2059,18071,1234,0,0,2385,414,0,1204,0,444,467,0,0,2277,0,602,893,963,0,4553,45074,967035,8553,2365,37985,594,10413,337675,0,21044,1130,0,7228,1076,0,150855,2378,302,3057796,
I_lacunosa-Solyc07g045330.2.1_1,5072,12062,7622,1251509,6725,133759,1574,184154,1416902,501275,114834,34357,6376,3747,11235,621490,27097,1063051,2876,0,37067,31258,226,1844,148,333239,562231,161272,118095,172412,2511,4137,133267,876,740,1128,6543,2005600,21768,7259,50623,699720,2012,1112321,464,102130,23992,8244,434,12572,0,7507,17029,0,11044386,
I_lacunosa-Solyc11g044310.1.1_1,2888,4099,122194,5892,8332,6446,794,306206,225507,314878,1980,156799,6927,2199,4749,2294,0,0,452,0,5366,2472,0,76,0,5877,634,606,418,5303,865,1236,252974,896,3108,438,14899,489966,9719,2322,454348,247354,2950,50467,88,37884,5941,0,1358,604,212,282,23285,0,2794584,
I_lacunosa-Solyc09g014230.1.1_1,1171,0,1468,2675,946,0,0,3075,301,516,2612,548,2110,1156,2748,298,0,0,0,0,1797,822,0,580,0,124294,344,8386,298,1505,290,0,1804,0,0,1868,7544,19246,6684,851,41610,11908,29931,166255,0,3907,44955,138,36731,19777,0,894,0,0,552043,
I_lacunosa-Solyc06g048730.2.1_1,1895,19961,5692,3839,553408,442,588,177519,2291,26305,1262865,30076,4474,366098,12846,33219,2288,0,2008,0,161225,181204,0,892,122,858,1052,0,0,2377,288,836,2593,1254,230,1824,8794,46474,334739,3295,595481,2096,111987,131083,0,19062,9580,156,1190,1583,0,550,29748,0,4156387,
I_lacunosa-Solyc12g010600.1.1_1,5435,787964,154661,245995,78041,252131,4080,683946,161235,399083,348420,51100,20273,30362,20565,1171903,1912,48207,2262,0,17388,6079,384,9984,160,3773,1481,249629,1158,181067,346460,155585,8828,4306,5694,1663,10677,1936627,530838,9960,316569,245597,35882,1372482,0,22365,381179,734,56395,37699,356,4863,7783,0,10431220,
I_lacunosa-Solyc01g096270.2.1_1,2207,0,828,12643,0,0,1032,10764,290,1142,345,1317,1431,0,811,296,0,28412,0,0,376,298,0,0,0,820,0,804,0,0,0,0,151,1230,366,32376,1563,11701,28539,53688,2038,1362,462,735390,0,3941,692345,0,241,598,0,754,0,0,1630561,
I_lacunosa-Solyc09g008470.2.1_1,2580,462369,16682,6557,4889,70925,226,9765,201742,3194,4475,3864,9427,14535,95656,4535,959,50031,225701,0,1911,1090,0,166108,0,10810,4442,2811,1692,92908,236,0,83896,1028,792,849,1772,1369123,4378,3706,47791,2671,933,652835,44307,16034,10415,572,99987,500,0,1540,4635,0,3817884,
I_lacunosa-Solyc02g068050.2.1_1,1750,286,32795,239356,308,225401,0,2422,148700,1423,4742,1028480,1501,115436,3568,1292,190,500,122,0,2204,0,0,1020,0,290,202,134,0,79148,706,588,132,404,0,150,13120,628049,6376,3410,165565,24541,5242,415826,0,2929,19545,0,1614,208,0,396,1166,0,3181237,
I_lacunosa-Solyc06g048540.2.1_1,1764,3497,352131,130551,4615,1360,0,4674,183859,875,21155,9451,19905,3282,5717,1867,512,0,1954,0,2828,1434,0,244557,0,358,2196,308,1164,4194,143190,757,2118,982,59799,378,1517,352378,165228,3399,7376,6544,1839,503108,0,11307,14495,17240,100142,28625,0,780,22945,0,2448355,
I_lacunosa-Solyc02g080990.1.1_1,3341,2537,29545,4451,5639,20020,639,139605,7998,1159,27323,8944,98632,2940,9743,16571,1164,710,18874,0,29889,0,0,14604,0,746,0,18373,844,4845,522,0,52924,1421,812,2447,4994,585675,14101,9656,28279,2366,8673,138613,0,11537,3987,84,1282,4739,0,1203,3254,0,1345705,
I_lacunosa-Solyc02g080270.2.1_1,2148,863,2760,2186,300,828,156,7052,3542,1508,1760,1083,1202,1807,5289,1424,0,0,302,0,1158,3615,0,2204,0,0,5711,1504,0,708,0,894,1208,882,0,412,3356,106678,9646,906,4449,1359,1506,996,0,966,299,0,431028,0,0,800,302,0,614797,
I_lacunosa-Solyc08g063080.2.1_1,1783,15961,1127491,2987,712936,42188,0,82948,98623,2274,84361,483160,59283,968314,68898,17778,930,1138,446,0,12508,253620,0,552,612,136969,294,0,404,2691,563,0,5169,272,34199,778,333194,1981967,21199,18640,685438,565596,2107,947856,0,729459,2689,0,6658,74454,0,960,1088,0,9591435,
I_lacunosa-Solyc12g006030.1.1_1,2084,835,2173,21552,0,51514,0,776,372769,1314,2202,2376,3018,2233,371068,0,0,528,348,0,595,1968,0,2144,0,0,160,0,266,210,66,176,2087,88,0,283,6347,573626,18561,590,5591,1377,296,104220,0,1760,173909,72,193909,284,0,236,840,0,1924451,
I_lacunosa-Solyc10g084920.1.1_1,2068,57063,1414,400463,757,760,480,38701,7672,0,3622,522830,1394,1331,643207,1214,0,224,24216,0,1786,712597,0,224,0,1348,648,1926,0,240519,1418,135437,2150,0,0,906,36089,385973,4307,465,37565,45274,318,333146,0,4422,1186,32524,40851,0,0,2180,1208,0,3731883,
I_lacunosa-Solyc06g073230.2.1_1,7866,691,2581,1822,1388,178,0,113841,604,676,855,529,897,1777,9775,282206,122,0,0,0,1712,118,0,1293,0,1172,0,288,696,501,1125,0,1817,549,1504,0,938,39566,5094,2478,3896,189173,0,7402,0,4601,2843,0,1024,8464,0,1664,852,0,704578,
I_lacunosa-Solyc02g078260.2.1_1,5424,2581,296788,79629,236469,1340,429,364540,472479,10803,560696,376829,21926,15884,31671,478437,3928,236106,39438,0,197780,6221,438,29347,250,304385,2957,190804,1522,809501,3312,2385,610247,4448,185777,3023,303309,2098882,193584,78533,1592974,1431830,26883,1756262,0,233556,957829,1416,552105,28829,0,165669,15683,0,15025138,
I_lacunosa-Solyc05g018650.2.1_1,2894,1242,5265,4138,604,4258,500,1821,3823,28347,42016,11407,556520,4395,6970,2030,606,0,604,0,12295,2216,0,564,0,455,384,1894,1196,3009,604,906,1792,290,756,4624,1504,9815,10261,10934,821997,4167,2005,410108,0,14425,1964,216,233907,1303,0,2940,1202,0,2235173,
I_lacunosa-Solyc09g009340.1.1_1,7074,632,6740,3056,89448,1186,520,182131,9366,2778,13605,2443,3704,3744,14417,554813,256,0,0,0,2511,1030,0,10546,320,822,650,1725,0,70922,6813,2050,732,2580,886,1576,2083,16789,30944,2045,175810,3370,613192,826652,0,7578,34454,138,125499,125683,0,1221,605,0,2965139,
I_lacunosa-Solyc05g054730.2.1_1,3067,154237,5202,1179497,2869,126335,670,104807,576924,4557,9236,107183,4241,3601,7912,1289,194,922,0,0,1779,4274,0,21205,0,910,1198,1206,2860,4582,2036,702,4692,1208,248,1089,3208,1058573,387264,15102,175755,45790,4424,1345574,0,9648,61037,458,3262,1506,0,927,4213,0,5457473,
I_lacunosa-Solyc05g024290.2.1_1,2014,1803,8542,141843,567267,162578,422,513604,610,4151,26903,90202,4496,667,556128,1425,910,916,309,0,487949,1834,0,6669,384,1733,576,190,15608,74443,684,591,3471,904,1568,696,137559,969183,147368,5284,12856,3258,1509,556877,0,185790,6225,0,5426,11877,0,442,1889,0,4727633,
I_lacunosa-Solyc02g094470.2.1_1,2964,474378,26747,20572,12602,7704,200,132733,45764,6671,688522,2226,5332,9924,24853,11487,1098,0,3596,0,5294,2080,0,109958,0,4500,688,794,784,16457,722,0,1544,1322,570,10600,90643,33415,520146,3567,840682,18212,80472,432507,0,39541,514868,292,72378,10772,0,536,1216,0,4291933,
I_lacunosa-Solyc04g081400.2.1_1,3075,1360,5598,2914,638304,166,0,17648,24378,4772,648861,491806,6660,7024,275331,1427,2305,1392,7198,0,5669,554,0,430603,208,2678,72507,906,0,3693,1222,894,1744,558,744,459,3902,30310,14561,6619,290519,475580,863,521627,0,618283,318975,0,186578,174561,0,424,3126,0,5308586,
I_lacunosa-Solyc11g013290.1.1_1,5670,0,152,121,279,89236,10011,302,13898,2023,20130,270,42569,2004,9086,1204,474,298,0,0,3096,906,34,268,0,4632,0,68,152,560,0,302,290,140,158,424,1208,199388,3604,775,39138,0,824,1004,0,2813,374462,0,1074,0,0,0,582,0,833629,
I_lacunosa-Solyc11g013310.1.1_1,3949,824,1714,155865,2557,120,0,296,2759,1689,2480,75647,3714,343788,1189,240,0,0,9760,0,670,1300,0,0,0,604,0,302,2098,2650,378,137,342,420,344,58371,3316,433281,129904,226,3484,198987,1367,397891,0,44728,2084,136,5187,320395,158,1251,2731,0,2219333,
I_lacunosa-Solyc12g008980.1.1_1,3684,136,462154,117,1182,154,0,1669,29671,1200,1510,847,1943,3612,5012,125082,233,0,0,0,3288,846,0,0,366,1192,0,0,198,951,485,0,4438,411,152,0,4464,33761,96168,2101,3976,435279,872,460585,0,5892,19729,0,2081,0,0,302,797,0,1716540,
